gene_id	baseMn	l2fc	lfcSE	pval	padj
BTG1	3.87E+02	0.06	0.12	5.77E-01	1.00E+00
BTG2	2.61E+02	0.01	0.14	9.51E-01	1.00E+00
BTG3	9.99E+01	0.16	0.14	2.65E-01	1.00E+00
BTK	1.11E+01	0.14	0.34	6.74E-01	1.00E+00
BTN3A1	2.25E+01	0.02	0.24	9.21E-01	1.00E+00
BTN3A3	3.01E+00	0.96	0.8	2.28E-01	1.00E+00
BTNL10	6.66E-01	1.69	1.4	2.28E-01	1.00E+00
BUB1B-PAK6	4.73E-01	0.04	1.69	9.81E-01	1.00E+00
BUB3	4.01E+02	0.08	0.08	3.11E-01	1.00E+00
BUD13	2.50E+02	0.01	0.14	9.17E-01	1.00E+00
BUD23	3.73E+02	0.09	0.11	4.18E-01	1.00E+00
BVES	1.88E+02	0.13	0.1	1.91E-01	1.00E+00
BZW2	3.88E+02	0.01	0.09	9.49E-01	1.00E+00
C10orf53	4.18E+00	0.62	0.52	2.29E-01	1.00E+00
C10orf67	9.15E-01	1.22	1.65	4.59E-01	1.00E+00
C10orf88	1.06E+02	0.04	0.14	7.85E-01	1.00E+00
C10orf95	8.51E-01	0.69	1.22	5.70E-01	1.00E+00
C11orf1	6.90E+00	0.26	0.42	5.27E-01	1.00E+00
C11orf24	3.19E+01	0.01	0.25	9.75E-01	1.00E+00
C11orf42	9.46E-01	0.27	1.48	8.54E-01	1.00E+00
C11orf52	6.63E+00	0.22	0.46	6.36E-01	1.00E+00
C11orf54	1.17E+02	0.17	0.15	2.60E-01	1.00E+00
C11orf65	1.75E+00	0.36	0.82	6.58E-01	1.00E+00
C11orf68	5.71E+01	0.32	0.29	2.75E-01	1.00E+00
C11orf71	5.08E+01	0.03	0.21	8.81E-01	1.00E+00
C11orf80	3.24E+01	0.01	0.24	9.56E-01	1.00E+00
C12orf4	2.01E+02	0.15	0.12	2.06E-01	1.00E+00
C12orf43	2.02E+02	0.03	0.09	7.83E-01	1.00E+00
C12orf56	4.87E-01	0.94	1.64	5.65E-01	1.00E+00
C12orf57	3.55E+02	0.01	0.11	9.04E-01	1.00E+00
C12orf60	1.85E+01	0.45	0.3	1.36E-01	1.00E+00
C12orf73	2.69E+01	0.08	0.27	7.64E-01	1.00E+00
C12orf75	8.88E+01	0.17	0.16	2.92E-01	1.00E+00
C13orf46	3.13E+00	0.44	0.73	5.44E-01	1.00E+00
C14orf119	1.23E+02	0.25	0.13	5.91E-02	1.00E+00
C14orf28	2.30E+01	0.3	0.27	2.53E-01	1.00E+00
C14orf93	2.82E+01	0.03	0.23	8.90E-01	1.00E+00
C15orf39	1.56E+02	0.01	0.15	9.55E-01	1.00E+00
C15orf40	1.54E+02	0.31	0.19	9.44E-02	1.00E+00
C16orf72	7.44E+02	0.09	0.07	1.92E-01	1.00E+00
C16orf89	1.12E+00	0.46	1.13	6.87E-01	1.00E+00
C16orf95	9.07E+00	0.35	0.46	4.41E-01	1.00E+00
C16orf96	3.21E+00	0.15	0.75	8.42E-01	1.00E+00
C17orf113	4.42E+00	1.01	0.65	1.21E-01	1.00E+00
C17orf75	2.18E+02	0.13	0.12	2.60E-01	1.00E+00
C17orf97	4.19E+00	0.87	0.62	1.58E-01	1.00E+00
C19orf12	8.87E+01	0.07	0.14	6.27E-01	1.00E+00
C19orf18	4.63E+00	0.41	0.5	4.10E-01	1.00E+00
C19orf25	8.86E+01	0.06	0.19	7.71E-01	1.00E+00
C19orf54	2.60E+01	0.01	0.24	9.83E-01	1.00E+00
C19orf71	7.18E+00	0.86	0.56	1.23E-01	1.00E+00
C19orf73	2.42E+00	0.18	0.89	8.37E-01	1.00E+00
C19orf84	3.90E+00	0.01	0.64	9.82E-01	1.00E+00
C1GALT1	2.13E+02	0.13	0.13	3.15E-01	1.00E+00
C1GALT1C1	3.29E+02	0.1	0.11	3.51E-01	1.00E+00
C1QL3	4.59E+00	0.61	0.57	2.88E-01	1.00E+00
C1QTNF2	1.48E+00	0.48	1.05	6.47E-01	1.00E+00
C1QTNF3	2.62E+01	0.02	0.21	9.33E-01	1.00E+00
C1QTNF4	5.77E-01	0.95	1.6	5.51E-01	1.00E+00
C1QTNF5	2.76E+01	0.34	0.26	2.01E-01	1.00E+00
C1QTNF6	3.40E+02	0.11	0.13	4.04E-01	1.00E+00
C1QTNF7	4.65E-01	1.47	1.93	4.46E-01	1.00E+00
C1R	2.07E+00	1.56	1.02	1.24E-01	1.00E+00
C1orf109	2.06E+02	0.02	0.1	8.01E-01	1.00E+00
C1orf112	1.12E+02	0.1	0.12	3.83E-01	1.00E+00
C1orf131	1.73E+02	0.02	0.1	8.75E-01	1.00E+00
C1orf158	1.35E+00	1.24	0.94	1.90E-01	1.00E+00
C1orf174	1.24E+02	0.1	0.12	4.18E-01	1.00E+00
C1orf198	2.74E+02	0.09	0.1	3.76E-01	1.00E+00
C1orf210	6.90E-01	0.96	1.36	4.82E-01	1.00E+00
C1orf216	3.17E+02	0.05	0.14	7.30E-01	1.00E+00
C1orf50	8.06E+01	0.03	0.14	8.41E-01	1.00E+00
C1orf52	1.42E+02	0.03	0.11	7.68E-01	1.00E+00
C1orf53	1.16E+00	2.71	1.08	1.18E-02	1.00E+00
C1orf74	5.19E+01	0.3	0.21	1.44E-01	1.00E+00
C2	8.69E-01	0.36	1.48	8.10E-01	1.00E+00
C20orf202	2.09E+00	0.65	0.86	4.50E-01	1.00E+00
C20orf96	3.58E+01	0.15	0.23	5.08E-01	1.00E+00
C21orf58	3.22E+01	0.28	0.22	2.03E-01	1.00E+00
C21orf62	3.21E+00	1.34	0.67	4.51E-02	1.00E+00
C21orf91	1.63E+02	0.04	0.13	7.47E-01	1.00E+00
C22orf23	1.93E+02	0.13	0.14	3.36E-01	1.00E+00
C22orf39	8.29E+01	0.16	0.15	2.82E-01	1.00E+00
C2CD2	7.60E+02	0.14	0.1	1.51E-01	1.00E+00
C2CD2L	2.48E+01	0.07	0.26	7.81E-01	1.00E+00
C2CD3	1.37E+02	0.12	0.15	4.30E-01	1.00E+00
C2CD4A	5.62E+01	0.04	0.23	8.72E-01	1.00E+00
C2CD4B	7.65E+01	0.25	0.17	1.40E-01	1.00E+00
C2orf16	2.36E+01	0.24	0.29	4.16E-01	1.00E+00
C2orf50	7.44E+00	0.3	0.47	5.16E-01	1.00E+00
C2orf66	2.06E+00	0.25	0.95	7.91E-01	1.00E+00
C2orf83	5.45E-01	1.01	1.6	5.29E-01	1.00E+00
C2orf92	3.23E+00	1.41	0.71	4.63E-02	1.00E+00
C3orf14	2.32E+01	0.27	0.32	3.85E-01	1.00E+00
C3orf18	1.76E+01	0.3	0.28	2.77E-01	1.00E+00
C3orf33	3.60E+01	0.32	0.2	1.05E-01	1.00E+00
C3orf49	5.20E-01	0.44	1.64	7.88E-01	1.00E+00
C3orf62	6.29E+01	0.26	0.19	1.66E-01	1.00E+00
C3orf70	5.93E+01	0.18	0.2	3.71E-01	1.00E+00
C4B	1.10E+00	0.49	2.98	8.69E-01	1.00E+00
C4orf19	2.52E+00	0.41	0.83	6.22E-01	1.00E+00
C4orf3	1.94E+03	0.02	0.08	8.28E-01	1.00E+00
C4orf36	1.51E+00	0.51	0.98	6.03E-01	1.00E+00
C4orf46	1.33E+02	0.21	0.16	1.79E-01	1.00E+00
C4orf48	2.79E+00	0.36	0.74	6.29E-01	1.00E+00
C5	9.12E+00	0.02	0.38	9.56E-01	1.00E+00
C5AR2	1.27E+01	0.61	0.43	1.63E-01	1.00E+00
C5orf15	5.15E+02	0.06	0.12	5.77E-01	1.00E+00
C5orf22	2.16E+02	0.08	0.12	5.39E-01	1.00E+00
C5orf24	5.56E+02	0.13	0.11	2.39E-01	1.00E+00
C5orf34	4.29E+01	0.14	0.2	4.98E-01	1.00E+00
C5orf51	4.34E+02	0.03	0.12	8.27E-01	1.00E+00
C5orf63	7.51E-01	2.25	1.64	1.71E-01	1.00E+00
C6orf120	4.16E+02	0.03	0.11	7.73E-01	1.00E+00
C6orf47	1.32E+02	0.23	0.14	9.62E-02	1.00E+00
C6orf52	6.52E+00	0.11	0.48	8.12E-01	1.00E+00
C6orf58	7.89E-01	1.62	1.48	2.74E-01	1.00E+00
C6orf62	1.34E+03	0.15	0.12	2.13E-01	1.00E+00
C6orf89	6.93E+02	0.05	0.08	5.54E-01	1.00E+00
C7orf31	1.78E+01	0.1	0.31	7.40E-01	1.00E+00
C8orf34	2.28E+00	0.5	0.98	6.14E-01	1.00E+00
C8orf48	1.90E+01	0.41	0.3	1.74E-01	1.00E+00
C8orf82	9.51E+00	0.12	0.4	7.64E-01	1.00E+00
C8orf88	8.45E+01	0.11	0.15	4.83E-01	1.00E+00
C9orf152	1.25E+00	1.27	1.1	2.50E-01	1.00E+00
C9orf43	3.14E+00	0.54	0.64	3.99E-01	1.00E+00
C9orf64	1.71E+02	0.01	0.11	9.57E-01	1.00E+00
C9orf85	9.71E+01	0.1	0.13	4.48E-01	1.00E+00
CA11	2.69E+01	0.2	0.3	5.05E-01	1.00E+00
CA12	2.69E+00	0.74	0.78	3.44E-01	1.00E+00
CA13	5.84E+01	0.02	0.2	9.04E-01	1.00E+00
CA5B	3.70E+01	0.03	0.2	8.99E-01	1.00E+00
CA8	4.47E+02	0.18	0.14	1.96E-01	1.00E+00
CAAP1	2.93E+02	0.07	0.08	3.24E-01	1.00E+00
CAB39	1.03E+03	0.1	0.09	2.57E-01	1.00E+00
CAB39L	6.93E+01	0.12	0.16	4.80E-01	1.00E+00
CABLES1	1.86E+02	0.11	0.09	2.49E-01	1.00E+00
CABP7	7.81E-01	0.29	1.48	8.42E-01	1.00E+00
CABYR	3.98E+00	0.12	0.6	8.36E-01	1.00E+00
CACFD1	1.03E+02	0.05	0.15	7.08E-01	1.00E+00
CACHD1	2.98E+02	0.04	0.08	6.19E-01	1.00E+00
CACNA1A	1.06E+01	0.28	0.39	4.63E-01	1.00E+00
CACNA1C	6.88E+00	0.31	0.43	4.75E-01	1.00E+00
CACNA1D	5.50E-01	0.76	1.51	6.14E-01	1.00E+00
CACNA2D1	2.87E+02	0.07	0.1	4.44E-01	1.00E+00
CACNB1	6.10E+00	0.26	0.59	6.60E-01	1.00E+00
CACNG4	7.05E-01	1.18	1.39	3.96E-01	1.00E+00
CACNG5	2.37E+00	0.64	0.74	3.85E-01	1.00E+00
CACNG6	8.08E+00	0.02	0.43	9.70E-01	1.00E+00
CACNG8	2.79E+02	0.04	0.24	8.71E-01	1.00E+00
CACTIN	1.84E+02	0.02	0.16	8.79E-01	1.00E+00
CACYBP	1.34E+03	0.01	0.08	8.88E-01	1.00E+00
CAD	3.27E+02	0.03	0.12	7.77E-01	1.00E+00
CADM1	4.05E+02	0.02	0.1	8.17E-01	1.00E+00
CADM2	3.35E+00	0.18	0.75	8.13E-01	1.00E+00
CALB1	6.37E-01	1.23	1.59	4.41E-01	1.00E+00
CALCA	6.29E-01	1.26	1.55	4.18E-01	1.00E+00
CALCRL	1.52E+03	0.08	0.09	3.65E-01	1.00E+00
CALHM2	8.81E+00	0.31	0.41	4.48E-01	1.00E+00
CALHM6	1.09E+00	0.08	1.23	9.47E-01	1.00E+00
CALM1	3.67E+03	0.04	0.07	5.94E-01	1.00E+00
CALML4	4.67E+01	0.16	0.21	4.42E-01	1.00E+00
CALN1	4.29E+01	0.1	0.19	5.90E-01	1.00E+00
CAMK1D	7.06E+01	0.05	0.19	7.90E-01	1.00E+00
CAMK2B	1.28E+00	0.47	1.39	7.34E-01	1.00E+00
CAMK4	1.23E+01	0.32	0.42	4.44E-01	1.00E+00
CAMKMT	3.51E+01	0.13	0.22	5.60E-01	1.00E+00
CAMSAP1	4.18E+02	0.03	0.09	7.20E-01	1.00E+00
CAMTA2	7.90E+01	0.19	0.13	1.44E-01	1.00E+00
CAND2	9.90E+00	0.62	0.43	1.48E-01	1.00E+00
CANT1	5.37E+02	0.06	0.07	4.44E-01	1.00E+00
CANX	1.25E+04	0.02	0.09	8.30E-01	1.00E+00
CAPN15	9.22E+01	0.1	0.16	5.19E-01	1.00E+00
CAPN3	1.53E+00	0.63	1.01	5.37E-01	1.00E+00
CAPN7	4.11E+02	0.01	0.1	9.25E-01	1.00E+00
CAPNS2	1.13E+00	0.92	1.31	4.83E-01	1.00E+00
CAPS	3.03E+00	0.31	0.71	6.65E-01	1.00E+00
CAPZA1	2.16E+03	0.03	0.08	7.29E-01	1.00E+00
CAPZA2	1.13E+03	0.1	0.09	2.54E-01	1.00E+00
CAPZB	1.56E+03	0.03	0.11	8.15E-01	1.00E+00
CARD10	3.10E+02	0.01	0.14	9.20E-01	1.00E+00
CARD11	1.97E+01	0.22	0.28	4.33E-01	1.00E+00
CARD19	2.00E+01	0.05	0.35	8.81E-01	1.00E+00
CARD6	1.17E+02	0.04	0.12	7.36E-01	1.00E+00
CARD8	7.02E+02	0.04	0.09	6.63E-01	1.00E+00
CARD9	1.48E+00	1.81	1.03	7.88E-02	1.00E+00
CARF	3.25E+01	0.09	0.22	6.81E-01	1.00E+00
CARNMT1	5.25E+02	0.21	0.1	3.61E-02	1.00E+00
CASC3	1.39E+03	0.01	0.08	8.57E-01	1.00E+00
CASD1	6.34E+02	0.14	0.09	1.01E-01	1.00E+00
CASK	5.39E+02	0.08	0.08	3.11E-01	1.00E+00
CASKIN2	2.29E+02	0.12	0.12	2.87E-01	1.00E+00
CASP2	2.67E+02	0.01	0.09	9.28E-01	1.00E+00
CASP3	7.87E+02	0.09	0.07	2.51E-01	1.00E+00
CASP4	1.56E+01	0.21	0.35	5.44E-01	1.00E+00
CASP8	1.84E+02	0.21	0.14	1.44E-01	1.00E+00
CASTOR1	2.03E+01	0.54	0.31	8.39E-02	1.00E+00
CAV1	5.86E+02	0.01	0.24	9.82E-01	1.00E+00
CAVIN2	2.48E+01	0.19	0.32	5.61E-01	1.00E+00
CAVIN3	9.74E+01	0.03	0.22	8.91E-01	1.00E+00
CBFA2T2	1.18E+02	0.04	0.12	7.70E-01	1.00E+00
CBFB	7.22E+02	0.12	0.12	2.98E-01	1.00E+00
CBL	7.79E+02	0.08	0.12	4.98E-01	1.00E+00
CBLB	2.49E+02	0.02	0.1	8.38E-01	1.00E+00
CBLN2	4.78E+02	0.2	0.15	1.80E-01	1.00E+00
CBR4	2.92E+02	0.04	0.11	7.48E-01	1.00E+00
CBS	4.44E+01	0.26	0.7	7.04E-01	1.00E+00
CBWD1	2.89E+02	0.09	0.18	6.11E-01	1.00E+00
CBWD3	1.04E+01	0.79	1.15	4.95E-01	1.00E+00
CBX5	2.78E+03	0.09	0.09	3.55E-01	1.00E+00
CBX6	1.40E+02	0.17	0.13	1.93E-01	1.00E+00
CBX7	4.52E+00	0.04	0.64	9.45E-01	1.00E+00
CBY1	6.33E+02	0.03	0.09	7.44E-01	1.00E+00
CC2D1B	1.63E+02	0.08	0.13	5.59E-01	1.00E+00
CC2D2A	2.42E+02	0.08	0.09	3.47E-01	1.00E+00
CC2D2B	5.74E+00	0.91	0.47	5.08E-02	1.00E+00
CCAR1	1.61E+03	0.02	0.08	8.18E-01	1.00E+00
CCBE1	4.19E+00	1.6	0.72	2.57E-02	1.00E+00
CCDC106	3.33E+01	0.08	0.23	7.30E-01	1.00E+00
CCDC113	4.64E+01	0.02	0.19	9.02E-01	1.00E+00
CCDC115	1.56E+02	0.04	0.14	8.05E-01	1.00E+00
CCDC116	9.16E-01	0.78	1.38	5.71E-01	1.00E+00
CCDC117	7.98E+02	0.01	0.09	9.08E-01	1.00E+00
CCDC120	3.99E+01	0.24	0.22	2.55E-01	1.00E+00
CCDC122	2.46E+01	0.55	0.24	2.49E-02	1.00E+00
CCDC126	7.10E+01	0.07	0.14	6.32E-01	1.00E+00
CCDC127	2.26E+02	0.04	0.09	6.12E-01	1.00E+00
CCDC134	6.71E+01	0.03	0.17	8.67E-01	1.00E+00
CCDC136	2.69E+01	0.03	0.27	9.10E-01	1.00E+00
CCDC138	6.91E+01	0.14	0.16	3.87E-01	1.00E+00
CCDC14	1.69E+02	0.21	0.13	1.17E-01	1.00E+00
CCDC142	5.30E+01	0.12	0.18	4.90E-01	1.00E+00
CCDC144A	2.04E+01	0.24	0.3	4.22E-01	1.00E+00
CCDC146	9.30E+00	0.21	0.46	6.48E-01	1.00E+00
CCDC148	2.73E+00	0.74	0.72	3.05E-01	1.00E+00
CCDC15	2.78E+01	0.28	0.21	1.70E-01	1.00E+00
CCDC150	3.10E+01	0.14	0.22	5.41E-01	1.00E+00
CCDC153	3.69E+00	0.64	0.62	3.02E-01	1.00E+00
CCDC157	3.64E+01	0.19	0.26	4.63E-01	1.00E+00
CCDC159	1.41E+01	0.24	0.39	5.36E-01	1.00E+00
CCDC167	6.87E+01	0.21	0.18	2.34E-01	1.00E+00
CCDC168	4.37E+00	0.81	0.57	1.52E-01	1.00E+00
CCDC169	2.40E+01	0.36	0.28	2.01E-01	1.00E+00
CCDC171	3.12E+01	0.09	0.27	7.33E-01	1.00E+00
CCDC173	4.75E+00	0.94	0.52	7.14E-02	1.00E+00
CCDC180	3.24E+01	0.13	0.23	5.81E-01	1.00E+00
CCDC183	6.74E+00	0.46	0.47	3.29E-01	1.00E+00
CCDC184	2.56E+00	1.56	0.81	5.48E-02	1.00E+00
CCDC189	1.54E+00	0.35	1.18	7.69E-01	1.00E+00
CCDC24	5.45E+00	0.05	0.51	9.20E-01	1.00E+00
CCDC25	5.79E+02	0.11	0.07	1.33E-01	1.00E+00
CCDC30	1.22E+01	0.19	0.35	5.96E-01	1.00E+00
CCDC32	1.83E+02	0.09	0.12	4.52E-01	1.00E+00
CCDC34	2.03E+02	0.02	0.13	8.77E-01	1.00E+00
CCDC39	1.27E+01	0.11	0.37	7.68E-01	1.00E+00
CCDC40	1.64E+01	0.38	0.3	2.11E-01	1.00E+00
CCDC43	6.95E+02	0.02	0.08	7.67E-01	1.00E+00
CCDC50	1.25E+03	0.01	0.08	8.75E-01	1.00E+00
CCDC51	9.21E+01	0.03	0.16	8.74E-01	1.00E+00
CCDC6	3.50E+02	0.04	0.08	5.77E-01	1.00E+00
CCDC60	6.16E-01	1.05	1.57	5.01E-01	1.00E+00
CCDC61	1.54E+01	0.1	0.32	7.67E-01	1.00E+00
CCDC62	4.48E+00	0.17	0.74	8.18E-01	1.00E+00
CCDC71L	2.35E+02	0.01	0.13	9.44E-01	1.00E+00
CCDC74A	1.10E+01	0.17	0.48	7.24E-01	1.00E+00
CCDC77	9.22E+01	0.21	0.12	8.11E-02	1.00E+00
CCDC8	8.05E+01	0.03	0.16	8.33E-01	1.00E+00
CCDC85A	2.66E+02	0.1	0.1	3.48E-01	1.00E+00
CCDC85B	4.62E+01	0.21	0.24	3.74E-01	1.00E+00
CCDC85C	1.42E+02	0.21	0.12	7.42E-02	1.00E+00
CCDC92B	2.47E+00	0.56	0.66	3.97E-01	1.00E+00
CCDC93	5.52E+02	0.01	0.12	9.43E-01	1.00E+00
CCL16	1.09E+00	0.53	1.17	6.54E-01	1.00E+00
CCL2	1.28E+02	0.23	0.21	2.91E-01	1.00E+00
CCL22	3.38E+00	0.37	0.62	5.55E-01	1.00E+00
CCL24	1.35E+00	0.19	1.01	8.50E-01	1.00E+00
CCL28	1.98E+00	1.75	0.98	7.44E-02	1.00E+00
CCL4L2	1.28E+00	0.27	1.09	8.02E-01	1.00E+00
CCL7	3.09E+00	0.35	0.73	6.27E-01	1.00E+00
CCN1	2.64E+02	0.05	0.14	7.05E-01	1.00E+00
CCN2	1.24E+03	0.1	0.14	4.89E-01	1.00E+00
CCN4	2.32E+00	0.31	0.73	6.72E-01	1.00E+00
CCNA1	8.51E-01	0.23	1.42	8.72E-01	1.00E+00
CCNB1IP1	1.23E+02	0.08	0.17	6.45E-01	1.00E+00
CCNC	4.24E+02	0.1	0.1	2.99E-01	1.00E+00
CCND1	3.20E+03	0.03	0.24	8.91E-01	1.00E+00
CCND2	6.79E+02	0.04	0.09	6.49E-01	1.00E+00
CCNE2	8.72E+01	0.04	0.14	7.89E-01	1.00E+00
CCNG1	6.39E+02	0.04	0.08	6.26E-01	1.00E+00
CCNG2	2.04E+02	0.12	0.17	4.65E-01	1.00E+00
CCNI	5.14E+02	0.03	0.09	7.18E-01	1.00E+00
CCNJ	6.54E+02	0.06	0.08	4.33E-01	1.00E+00
CCNJL	4.59E+02	0.07	0.12	5.81E-01	1.00E+00
CCNL2	6.13E+02	0.12	0.1	2.27E-01	1.00E+00
CCNQ	4.57E+01	0.08	0.18	6.52E-01	1.00E+00
CCNT1	6.72E+02	0.04	0.12	7.14E-01	1.00E+00
CCNY	2.00E+03	0.02	0.07	7.71E-01	1.00E+00
CCR10	7.78E-01	1.04	1.65	5.30E-01	1.00E+00
CCR4	1.94E+00	0.39	0.82	6.34E-01	1.00E+00
CCR6	4.68E+00	0.76	0.81	3.48E-01	1.00E+00
CCRL2	3.16E+01	0.01	0.22	9.58E-01	1.00E+00
CCSAP	5.99E+01	0.08	0.16	6.28E-01	1.00E+00
CCSER2	5.72E+02	0.11	0.09	2.64E-01	1.00E+00
