gene_id	baseMn	l2fc	lfcSE	pval	padj
BOC	1.68E+01	0.23	0.28	4.21E-01	1.00E+00
BOK	1.54E+02	0.06	0.12	6.16E-01	1.00E+00
BOLA2-SMG1P6	2.38E+02	0.12	0.13	3.91E-01	1.00E+00
BORCS5	1.11E+02	0.07	0.11	5.48E-01	1.00E+00
BORCS6	6.28E+01	0.23	0.17	1.74E-01	1.00E+00
BPNT1	1.71E+02	0.09	0.11	4.26E-01	1.00E+00
BPNT2	1.82E+03	0.1	0.1	3.36E-01	1.00E+00
BRAF	2.62E+02	0.11	0.12	3.54E-01	1.00E+00
BRAP	2.38E+02	0.05	0.1	6.49E-01	1.00E+00
BRD1	3.77E+02	0.02	0.08	7.87E-01	1.00E+00
BRD3OS	7.85E+01	0.14	0.14	3.37E-01	1.00E+00
BRD4	6.27E+02	0.02	0.13	8.92E-01	1.00E+00
BRD9	5.00E+02	0.03	0.11	8.00E-01	1.00E+00
BRDT	8.17E-01	1.76	1.45	2.25E-01	1.00E+00
BRI3	4.49E+02	0.14	0.15	3.53E-01	1.00E+00
BRINP1	8.82E+01	0.16	0.18	3.76E-01	1.00E+00
BRIX1	3.94E+02	0.05	0.11	6.44E-01	1.00E+00
BRME1	1.50E+01	0.05	0.32	8.81E-01	1.00E+00
BROX	2.77E+02	0.1	0.09	2.63E-01	1.00E+00
BRPF3	4.94E+02	0.01	0.09	8.75E-01	1.00E+00
BRSK1	5.59E+00	0.19	0.53	7.15E-01	1.00E+00
BRSK2	4.64E+00	0.29	0.58	6.12E-01	1.00E+00
BSCL2	5.34E+01	0.04	0.23	8.67E-01	1.00E+00
BSN	1.17E+01	0.12	0.42	7.80E-01	1.00E+00
BSND	1.43E+00	0.13	1.06	9.06E-01	1.00E+00
BST2	3.36E+02	0.23	0.11	4.24E-02	1.00E+00
BTAF1	4.80E+02	0.02	0.1	8.57E-01	1.00E+00
BTBD1	1.50E+03	0.05	0.13	6.68E-01	1.00E+00
BTBD10	1.31E+03	0.03	0.09	7.68E-01	1.00E+00
BTBD11	7.47E+01	0.05	0.23	8.21E-01	1.00E+00
BTBD17	7.13E-01	1.35	1.66	4.16E-01	1.00E+00
BTBD18	1.39E+00	0.03	1.23	9.81E-01	1.00E+00
BTBD19	2.06E+01	0.39	0.32	2.25E-01	1.00E+00
BTBD3	4.28E+02	0.04	0.07	6.35E-01	1.00E+00
BTD	9.49E+01	0.1	0.16	5.20E-01	1.00E+00
BTF3L4	6.73E+02	0.16	0.1	1.16E-01	1.00E+00
